"No.","Time","Source","Destination","Protocol","Length","Info"
"4716","245.304829","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=37305 Ack=1979 Win=70656 Len=1348 TSval=1069532731 TSecr=4113927384 [TCP segment of a reassembled PDU]"
"4717","245.329772","223.196.57.16","192.168.43.6","TCP","2762","443  >  53428 [ACK] Seq=38653 Ack=1979 Win=70656 Len=2696 TSval=1069532733 TSecr=4113927384 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU]"
"4718","246.305529","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=41349 Win=58624 Len=0 TSval=4113927443 TSecr=1069532731"
"4719","245.378519","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=41349 Ack=1979 Win=70656 Len=1348 TSval=1069532738 TSecr=4113927384 [TCP segment of a reassembled PDU]"
"4720","245.420862","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=42697 Win=66816 Len=0 TSval=4113927446 TSecr=1069532738"
"4721","246.310285","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [PSH, ACK] Seq=42697 Ack=1979 Win=70656 Len=1348 TSval=1069532738 TSecr=4113927384 [TCP segment of a reassembled PDU]"
"4722","246.312450","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=44045 Win=69504 Len=0 TSval=4113927447 TSecr=1069532738"
"4723","245.445369","223.196.57.16","192.168.43.6","TCP","1414","[TCP Previous segment not captured] 443  >  53428 [ACK] Seq=45393 Ack=1979 Win=70656 Len=1348 TSval=1069532744 TSecr=4113927384 [TCP segment of a reassembled PDU]"
"4724","245.470823","192.168.43.6","223.196.57.16","TCP","78","[TCP Window Update] 53428  >  443 [ACK] Seq=1979 Ack=44045 Win=72192 Len=0 TSval=4113927450 TSecr=1069532738 SLE=45393 SRE=46741"
"4725","245.473548","223.196.57.16","192.168.43.6","TCP","1414","[TCP Out-Of-Order] 443  >  53428 [ACK] Seq=44045 Ack=1979 Win=70656 Len=1348 TSval=1069532744 TSecr=4113927384 [TCP segment of a reassembled PDU]"
"4726","245.509406","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=46741 Win=74880 Len=0 TSval=4113927450 TSecr=1069532744"
"4727","245.519808","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=46741 Ack=1979 Win=70656 Len=1348 TSval=1069532749 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4728","245.546869","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=48089 Win=77568 Len=0 TSval=4113927455 TSecr=1069532749"
"4729","245.547846","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=48089 Ack=1979 Win=70656 Len=1348 TSval=1069532749 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4730","245.569483","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=49437 Win=80384 Len=0 TSval=4113927455 TSecr=1069532749"
"4731","245.570579","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=49437 Ack=1979 Win=70656 Len=1348 TSval=1069532753 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4732","245.591906","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=50785 Win=83072 Len=0 TSval=4113927459 TSecr=1069532753"
"4733","245.592686","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=50785 Ack=1979 Win=70656 Len=1348 TSval=1069532753 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4734","245.618328","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=52133 Win=85760 Len=0 TSval=4113927460 TSecr=1069532753"
"4735","246.330014","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=52133 Ack=1979 Win=70656 Len=1348 TSval=1069532756 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4736","245.644012","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=53481 Win=88448 Len=0 TSval=4113927464 TSecr=1069532756"
"4737","245.645030","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=53481 Ack=1979 Win=70656 Len=1348 TSval=1069532756 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4738","245.671128","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=54829 Win=91136 Len=0 TSval=4113927464 TSecr=1069532756"
"4739","245.672172","223.196.57.16","192.168.43.6","TLSv1.3","1414","Application Data [TCP segment of a reassembled PDU]"
"4740","245.704339","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=56177 Win=93824 Len=0 TSval=4113927466 TSecr=1069532760"
"4741","246.338634","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=56177 Ack=1979 Win=70656 Len=1348 TSval=1069532760 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4742","246.341386","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=57525 Win=96512 Len=0 TSval=4113927468 TSecr=1069532760"
